SKU,Style,Category,Color,Size,MSRP,Unit_Cost,Target_GM_Pct,Launch_Week_Index,End_Week_Index
SKU00001,STY0031,Graphic Tees,Gray,XL,19.01,8.09,0.574,21,80
SKU00002,STY0005,Seasonal Capsule,White,S,51.81,26.64,0.486,82,98
SKU00003,STY0162,Accessories,Red,S,14.69,5.87,0.6,2,36
SKU00004,STY0010,Outerwear,Gray,L,82.12,45.64,0.444,27,52
SKU00005,STY0089,Women's Denim,Red,L,48.26,24.53,0.492,28,83
SKU00006,STY0130,Women's Denim,Black,L,46.01,19.71,0.572,32,91
SKU00007,STY0126,Men's Denim,Gray,XS,69.58,30.98,0.555,70,96
SKU00008,STY0011,Loungewear,Tan,XL,58.66,27.32,0.534,12,43
SKU00009,STY0178,Outerwear,White,S,111.73,56.08,0.498,63,86
SKU00010,STY0159,Activewear,Black,S,46.79,19.29,0.588,13,65
SKU00011,STY0056,Men's Denim,Tan,XL,59.64,31.59,0.47,27,80
SKU00012,STY0083,Seasonal Capsule,Tan,XXL,78.03,35.84,0.541,25,37
SKU00013,STY0137,Loungewear,Tan,XL,52.87,21.2,0.599,61,88
SKU00014,STY0099,Women's Denim,Red,XL,50.06,22.01,0.56,6,66
SKU00015,STY0149,Women's Denim,Pink,L,61.26,27.04,0.559,66,99
SKU00016,STY0073,Women's Denim,Black,L,64.6,29.45,0.544,24,67
SKU00017,STY0156,Aerie Intimates,Navy,XS,24.83,11.24,0.547,30,80
SKU00018,STY0190,Tops & Blouses,Black,M,25.16,11.6,0.539,33,81
SKU00019,STY0115,Graphic Tees,Pink,M,17.03,6.2,0.636,58,98
SKU00020,STY0007,Aerie Intimates,Black,S,27.23,11.26,0.586,17,61
SKU00021,STY0080,Outerwear,Blue,L,118.85,61.46,0.483,35,72
SKU00022,STY0144,Women's Denim,Navy,M,40.88,19.78,0.516,2,58
SKU00023,STY0097,Aerie Intimates,Pink,XS,21.25,7.87,0.63,73,101
SKU00024,STY0004,Graphic Tees,Red,S,24.09,10.82,0.551,3,48
SKU00025,STY0004,Tops & Blouses,Green,L,40.77,17.99,0.559,15,75
SKU00026,STY0103,Accessories,Pink,XS,16.33,5.44,0.667,17,53
SKU00027,STY0040,Women's Denim,White,XL,62.93,30.76,0.511,6,41
SKU00028,STY0017,Tops & Blouses,Pink,M,40.07,17.87,0.554,34,83
SKU00029,STY0101,Outerwear,Blue,M,91.24,47.08,0.484,8,66
SKU00030,STY0103,Men's Denim,Green,L,53.82,25.36,0.529,25,61
SKU00031,STY0124,Outerwear,Blue,XL,89.45,42.28,0.527,23,83
SKU00032,STY0052,Women's Denim,Green,M,43.77,21.04,0.519,42,67
SKU00033,STY0052,Men's Denim,White,L,70.93,36.45,0.486,63,92
SKU00034,STY0164,Seasonal Capsule,Red,L,69.09,35.43,0.487,19,36
SKU00035,STY0124,Seasonal Capsule,Blue,S,91.04,41.99,0.539,53,67
SKU00036,STY0166,Loungewear,Blue,XL,41.58,16.2,0.61,9,61
SKU00037,STY0178,Aerie Intimates,Tan,XL,15.2,6.34,0.583,14,61
SKU00038,STY0063,Men's Denim,Green,L,67.9,31.22,0.54,41,77
SKU00039,STY0116,Activewear,Gray,XL,27.12,13.3,0.51,2,32
SKU00040,STY0191,Tops & Blouses,Green,XL,39.98,17.96,0.551,62,100
SKU00041,STY0062,Women's Denim,Tan,L,63.79,26.38,0.586,11,68
SKU00042,STY0007,Tops & Blouses,Black,XL,49.81,23.69,0.524,5,48
SKU00043,STY0155,Men's Denim,Green,L,57.52,26.0,0.548,9,64
SKU00044,STY0092,Seasonal Capsule,Red,L,93.62,48.39,0.483,88,97
SKU00045,STY0014,Aerie Intimates,Tan,L,34.07,12.69,0.628,47,92
SKU00046,STY0199,Activewear,Black,L,28.65,14.07,0.509,19,56
SKU00047,STY0086,Aerie Intimates,Navy,S,32.8,13.59,0.586,51,94
SKU00048,STY0133,Tops & Blouses,Tan,XL,33.31,15.62,0.531,55,81
SKU00049,STY0183,Outerwear,Navy,XL,95.82,46.03,0.52,12,56
SKU00050,STY0130,Women's Denim,Blue,XS,54.58,25.94,0.525,34,58
SKU00051,STY0062,Seasonal Capsule,Tan,XL,63.05,34.58,0.452,87,103
SKU00052,STY0149,Accessories,White,S,22.16,9.29,0.581,17,57
SKU00053,STY0079,Seasonal Capsule,Navy,M,32.73,16.71,0.489,8,27
SKU00054,STY0149,Loungewear,Red,L,29.5,12.6,0.573,45,96
SKU00055,STY0138,Outerwear,White,S,93.69,45.87,0.51,45,102
SKU00056,STY0058,Seasonal Capsule,Pink,XL,63.15,32.15,0.491,49,63
SKU00057,STY0120,Men's Denim,Pink,XL,50.18,22.68,0.548,60,102
SKU00058,STY0167,Women's Denim,Black,M,48.5,22.13,0.544,37,68
SKU00059,STY0133,Men's Denim,Blue,XS,58.49,29.94,0.488,51,94
SKU00060,STY0065,Aerie Intimates,Tan,M,32.55,13.91,0.573,64,99
SKU00061,STY0013,Graphic Tees,Gray,L,24.89,11.18,0.551,46,81
SKU00062,STY0181,Aerie Intimates,Red,XXL,18.25,7.46,0.591,12,53
SKU00063,STY0082,Loungewear,Navy,L,55.24,24.7,0.553,61,95
SKU00064,STY0173,Graphic Tees,White,S,18.21,7.87,0.568,5,55
SKU00065,STY0160,Aerie Intimates,Pink,L,14.98,6.5,0.566,30,75
SKU00066,STY0164,Outerwear,Red,L,77.98,37.11,0.524,18,60
SKU00067,STY0188,Women's Denim,Gray,XL,47.65,22.71,0.523,36,91
SKU00068,STY0139,Loungewear,Tan,S,34.71,13.61,0.608,40,90
SKU00069,STY0191,Men's Denim,Black,XL,72.49,31.69,0.563,41,78
SKU00070,STY0149,Seasonal Capsule,Gray,L,95.87,49.55,0.483,74,91
SKU00071,STY0052,Accessories,Red,XXL,20.81,8.1,0.611,14,46
SKU00072,STY0183,Women's Denim,Gray,M,59.03,29.59,0.499,3,53
SKU00073,STY0117,Men's Denim,Red,L,71.67,31.68,0.558,38,62
SKU00074,STY0026,Loungewear,Red,XXL,53.11,25.45,0.521,41,65
SKU00075,STY0196,Activewear,Green,S,43.94,18.87,0.571,55,78
SKU00076,STY0034,Accessories,Navy,XXL,27.27,9.12,0.666,49,92
SKU00077,STY0052,Accessories,Pink,L,16.43,6.19,0.623,57,103
SKU00078,STY0112,Men's Denim,Green,XS,51.97,24.36,0.531,36,76
SKU00079,STY0082,Graphic Tees,Tan,M,24.39,9.21,0.622,30,90
SKU00080,STY0180,Men's Denim,Green,L,63.34,32.29,0.49,67,92
SKU00081,STY0157,Loungewear,Blue,XS,54.25,25.59,0.528,40,85
SKU00082,STY0166,Activewear,Blue,L,64.98,26.07,0.599,33,91
SKU00083,STY0042,Aerie Intimates,Pink,M,25.47,10.73,0.579,37,87
SKU00084,STY0021,Men's Denim,Gray,L,69.32,30.12,0.565,65,88
SKU00085,STY0042,Aerie Intimates,Navy,XS,33.88,13.69,0.596,60,92
SKU00086,STY0141,Aerie Intimates,Pink,XL,22.53,8.35,0.629,27,80
SKU00087,STY0113,Accessories,Red,XXL,22.24,8.03,0.639,5,65
SKU00088,STY0105,Activewear,White,XXL,48.85,23.65,0.516,65,99
SKU00089,STY0192,Loungewear,Navy,L,24.16,9.59,0.603,30,57
SKU00090,STY0017,Tops & Blouses,Navy,S,20.78,9.15,0.56,45,78
SKU00091,STY0120,Men's Denim,Red,L,61.48,26.68,0.566,42,91
SKU00092,STY0137,Activewear,Red,XS,42.74,18.43,0.569,30,67
SKU00093,STY0169,Accessories,Black,XS,13.85,5.73,0.586,42,101
SKU00094,STY0129,Outerwear,Pink,M,86.19,44.59,0.483,68,96
SKU00095,STY0130,Accessories,Red,M,39.8,15.3,0.616,13,64
SKU00096,STY0060,Tops & Blouses,Blue,XL,38.16,15.46,0.595,45,84
SKU00097,STY0048,Tops & Blouses,Tan,L,49.07,22.93,0.533,37,64
SKU00098,STY0029,Graphic Tees,White,M,21.07,8.5,0.597,53,97
SKU00099,STY0097,Men's Denim,Pink,S,74.96,35.53,0.526,32,88
SKU00100,STY0010,Men's Denim,Blue,XXL,71.22,31.89,0.552,46,89
SKU00101,STY0058,Men's Denim,Gray,M,70.27,31.87,0.546,68,101
SKU00102,STY0188,Activewear,Red,M,40.58,18.59,0.542,35,81
SKU00103,STY0021,Aerie Intimates,Red,S,17.96,8.11,0.548,17,75
SKU00104,STY0028,Tops & Blouses,Navy,XL,41.99,17.64,0.58,57,101
SKU00105,STY0034,Seasonal Capsule,Blue,L,85.43,42.39,0.504,85,100
SKU00106,STY0008,Aerie Intimates,Navy,S,17.91,8.15,0.545,36,95
SKU00107,STY0187,Graphic Tees,Black,XS,28.37,10.31,0.637,53,102
SKU00108,STY0200,Accessories,Navy,L,27.92,10.2,0.635,21,55
SKU00109,STY0177,Women's Denim,Black,L,62.33,28.98,0.535,56,83
SKU00110,STY0079,Men's Denim,Black,S,58.22,30.14,0.482,17,51
SKU00111,STY0145,Aerie Intimates,Red,XXL,33.93,14.29,0.579,6,60
SKU00112,STY0188,Women's Denim,Gray,S,57.61,25.78,0.553,11,71
SKU00113,STY0087,Seasonal Capsule,Navy,M,44.18,23.25,0.474,75,94
SKU00114,STY0088,Loungewear,Blue,XXL,56.7,23.6,0.584,51,90
SKU00115,STY0173,Activewear,Black,M,65.2,29.05,0.554,51,101
SKU00116,STY0069,Loungewear,Red,L,44.03,19.34,0.561,35,64
SKU00117,STY0160,Loungewear,White,M,27.97,10.93,0.609,17,56
SKU00118,STY0172,Women's Denim,Pink,S,65.36,32.63,0.501,38,79
SKU00119,STY0193,Loungewear,Gray,XXL,30.19,11.57,0.617,16,69
SKU00120,STY0087,Tops & Blouses,Green,M,42.83,20.68,0.517,43,87
SKU00121,STY0101,Loungewear,White,XL,54.83,23.73,0.567,16,59
SKU00122,STY0008,Loungewear,Pink,S,52.74,21.8,0.587,30,87
SKU00123,STY0077,Aerie Intimates,White,S,34.1,12.65,0.629,50,91
SKU00124,STY0200,Men's Denim,Navy,XS,70.25,36.03,0.487,30,59
SKU00125,STY0087,Women's Denim,Black,L,40.38,19.54,0.516,37,84
SKU00126,STY0043,Graphic Tees,Gray,M,25.54,9.3,0.636,5,35
SKU00127,STY0129,Loungewear,Tan,XL,52.83,24.35,0.539,36,59
SKU00128,STY0109,Loungewear,Black,M,47.95,18.72,0.61,9,54
SKU00129,STY0179,Men's Denim,Tan,XXL,71.64,32.81,0.542,30,56
SKU00130,STY0152,Tops & Blouses,Pink,S,20.68,8.7,0.579,3,33
SKU00131,STY0152,Graphic Tees,Red,XL,23.7,9.66,0.592,34,88
SKU00132,STY0017,Women's Denim,Green,XL,40.13,16.86,0.58,16,76
SKU00133,STY0133,Men's Denim,Blue,XL,70.4,31.07,0.559,42,98
SKU00134,STY0148,Aerie Intimates,Black,XL,19.79,8.27,0.582,66,90
SKU00135,STY0021,Seasonal Capsule,Gray,XL,79.66,41.16,0.483,34,54
SKU00136,STY0058,Aerie Intimates,White,L,20.57,9.26,0.55,55,91
SKU00137,STY0159,Tops & Blouses,Gray,S,47.13,19.9,0.578,17,40
SKU00138,STY0110,Activewear,Pink,XS,53.77,26.77,0.502,19,62
SKU00139,STY0139,Graphic Tees,Tan,XXL,19.03,7.89,0.585,31,75
SKU00140,STY0180,Seasonal Capsule,White,L,92.16,46.11,0.5,10,28
SKU00141,STY0143,Seasonal Capsule,Blue,XL,87.45,44.2,0.495,32,44
SKU00142,STY0135,Aerie Intimates,Blue,M,25.48,10.61,0.584,15,61
SKU00143,STY0028,Tops & Blouses,Black,S,36.53,16.15,0.558,59,94
SKU00144,STY0051,Aerie Intimates,Pink,S,30.46,12.1,0.603,14,67
SKU00145,STY0186,Aerie Intimates,Red,L,32.59,14.74,0.548,49,82
SKU00146,STY0005,Men's Denim,Pink,M,59.48,25.58,0.57,26,77
SKU00147,STY0005,Outerwear,Tan,S,110.0,58.23,0.471,23,62
SKU00148,STY0094,Tops & Blouses,Gray,M,37.45,16.35,0.563,69,97
SKU00149,STY0096,Men's Denim,Blue,XS,78.16,34.26,0.562,11,61
SKU00150,STY0008,Aerie Intimates,Gray,L,31.48,12.06,0.617,27,58
SKU00151,STY0064,Seasonal Capsule,Gray,S,90.61,45.96,0.493,15,25
SKU00152,STY0138,Women's Denim,Gray,XL,68.24,30.86,0.548,56,84
SKU00153,STY0038,Women's Denim,Blue,M,68.87,28.85,0.581,26,71
SKU00154,STY0111,Tops & Blouses,Navy,M,36.89,17.82,0.517,56,103
SKU00155,STY0112,Seasonal Capsule,Tan,XS,77.26,35.84,0.536,21,34
SKU00156,STY0081,Aerie Intimates,Tan,XS,32.46,12.6,0.612,44,90
SKU00157,STY0136,Activewear,White,M,30.78,14.39,0.532,30,77
SKU00158,STY0104,Accessories,Pink,M,18.02,6.8,0.623,12,53
SKU00159,STY0153,Women's Denim,Pink,L,69.93,29.4,0.58,41,91
SKU00160,STY0073,Accessories,Green,M,24.23,8.26,0.659,13,49
SKU00161,STY0194,Graphic Tees,Pink,L,20.03,8.66,0.568,2,55
SKU00162,STY0178,Activewear,Blue,XL,34.49,16.06,0.534,54,87
SKU00163,STY0195,Activewear,Red,XL,64.56,27.22,0.578,45,90
SKU00164,STY0049,Tops & Blouses,Black,XS,21.03,9.03,0.571,7,37
SKU00165,STY0036,Men's Denim,Green,M,53.72,27.06,0.496,44,72
SKU00166,STY0126,Loungewear,Black,S,35.76,16.14,0.549,21,44
SKU00167,STY0068,Aerie Intimates,Tan,S,20.7,8.42,0.593,53,85
SKU00168,STY0078,Women's Denim,Black,XXL,47.98,23.68,0.506,37,72
SKU00169,STY0105,Men's Denim,Black,S,77.28,39.71,0.486,36,75
SKU00170,STY0169,Outerwear,Green,M,126.37,59.79,0.527,17,42
SKU00171,STY0122,Activewear,White,L,65.72,28.04,0.573,43,94
SKU00172,STY0119,Men's Denim,Gray,L,76.28,33.12,0.566,38,86
SKU00173,STY0190,Tops & Blouses,Pink,L,42.82,18.65,0.564,47,85
SKU00174,STY0114,Women's Denim,Pink,XS,46.54,19.69,0.577,27,61
SKU00175,STY0010,Activewear,Blue,M,50.84,20.72,0.592,41,93
SKU00176,STY0149,Women's Denim,Green,M,43.56,19.02,0.563,32,86
SKU00177,STY0164,Activewear,Blue,XS,38.15,18.21,0.523,57,86
SKU00178,STY0140,Graphic Tees,Red,M,19.27,6.75,0.65,13,71
SKU00179,STY0091,Seasonal Capsule,Red,XS,98.14,52.48,0.465,32,49
SKU00180,STY0002,Women's Denim,Blue,XS,66.91,32.67,0.512,56,103
SKU00181,STY0118,Graphic Tees,Green,M,20.74,8.08,0.61,67,93
SKU00182,STY0013,Men's Denim,Blue,S,71.25,37.32,0.476,28,84
SKU00183,STY0181,Seasonal Capsule,Pink,L,63.09,28.77,0.544,4,24
SKU00184,STY0160,Loungewear,Navy,L,58.26,27.63,0.526,56,83
SKU00185,STY0095,Aerie Intimates,Black,XL,34.78,14.76,0.576,32,69
SKU00186,STY0144,Activewear,Navy,S,28.35,12.38,0.563,44,92
SKU00187,STY0032,Loungewear,Green,S,44.74,21.01,0.53,10,57
SKU00188,STY0032,Outerwear,Navy,S,82.01,40.81,0.502,53,88
SKU00189,STY0124,Tops & Blouses,Red,L,35.77,17.19,0.519,28,81
SKU00190,STY0011,Aerie Intimates,Tan,L,27.81,12.54,0.549,24,84
SKU00191,STY0010,Men's Denim,Black,XS,71.7,34.69,0.516,41,94
SKU00192,STY0015,Loungewear,Gray,XXL,47.55,21.35,0.551,52,79
SKU00193,STY0017,Seasonal Capsule,Green,XS,46.07,20.94,0.545,50,59
SKU00194,STY0168,Activewear,Black,L,38.54,18.35,0.524,21,75
SKU00195,STY0146,Aerie Intimates,Navy,L,34.2,14.78,0.568,18,62
SKU00196,STY0183,Graphic Tees,Red,XL,22.25,8.19,0.632,30,83
SKU00197,STY0153,Accessories,White,L,26.78,11.15,0.584,44,74
SKU00198,STY0059,Loungewear,Gray,XL,55.86,24.99,0.553,48,87
SKU00199,STY0078,Loungewear,Black,M,59.75,25.86,0.567,28,81
SKU00200,STY0124,Accessories,Red,XL,29.72,10.13,0.659,48,74
SKU00201,STY0114,Activewear,Red,XS,43.25,21.42,0.505,11,45
SKU00202,STY0022,Men's Denim,Navy,XL,63.72,33.26,0.478,55,100
SKU00203,STY0158,Women's Denim,Pink,L,46.37,19.07,0.589,4,32
SKU00204,STY0172,Loungewear,Navy,XL,53.13,24.08,0.547,17,73
SKU00205,STY0032,Outerwear,Pink,M,127.16,66.4,0.478,34,58
SKU00206,STY0179,Men's Denim,Pink,L,72.67,32.42,0.554,65,95
SKU00207,STY0174,Men's Denim,Gray,L,63.7,32.37,0.492,24,66
SKU00208,STY0113,Activewear,Navy,L,59.31,28.8,0.514,37,68
SKU00209,STY0120,Men's Denim,White,XS,50.22,23.39,0.534,42,92
SKU00210,STY0149,Women's Denim,Blue,XS,64.09,26.57,0.585,55,79
SKU00211,STY0122,Outerwear,Blue,S,110.97,53.21,0.521,27,86
SKU00212,STY0032,Activewear,Navy,S,26.26,11.77,0.552,45,80
SKU00213,STY0119,Activewear,Navy,XL,30.28,12.99,0.571,34,83
SKU00214,STY0039,Women's Denim,Gray,S,69.75,28.91,0.586,7,58
SKU00215,STY0012,Activewear,Navy,XXL,41.68,18.31,0.561,35,87
SKU00216,STY0175,Women's Denim,Pink,M,41.68,18.94,0.546,14,62
SKU00217,STY0018,Aerie Intimates,Red,S,27.39,12.85,0.531,20,71
SKU00218,STY0149,Accessories,Red,XL,27.17,10.1,0.628,1,24
SKU00219,STY0141,Activewear,Pink,L,33.57,16.51,0.508,10,55
SKU00220,STY0149,Loungewear,Green,M,53.54,24.37,0.545,65,92
SKU00221,STY0126,Activewear,Pink,L,32.83,15.98,0.513,4,55
SKU00222,STY0136,Outerwear,White,L,100.66,51.71,0.486,35,78
SKU00223,STY0046,Men's Denim,Tan,S,59.74,30.7,0.486,47,76
SKU00224,STY0104,Graphic Tees,Black,XXL,28.31,12.3,0.566,21,48
SKU00225,STY0135,Aerie Intimates,Pink,XXL,30.21,13.66,0.548,15,57
SKU00226,STY0151,Aerie Intimates,Navy,L,25.84,10.09,0.61,41,71
SKU00227,STY0086,Seasonal Capsule,Navy,S,50.65,25.8,0.491,68,88
SKU00228,STY0150,Graphic Tees,Gray,L,17.97,7.87,0.562,67,90
SKU00229,STY0089,Loungewear,Pink,XS,23.75,10.99,0.537,34,92
SKU00230,STY0022,Activewear,Gray,XS,59.78,26.02,0.565,67,93
SKU00231,STY0092,Accessories,Pink,S,25.42,9.57,0.624,45,90
SKU00232,STY0029,Tops & Blouses,Black,M,21.08,8.49,0.597,57,85
SKU00233,STY0013,Outerwear,Tan,XL,128.07,63.09,0.507,21,81
SKU00234,STY0002,Tops & Blouses,Red,L,29.07,12.01,0.587,47,91
SKU00235,STY0029,Women's Denim,Blue,L,45.68,20.15,0.559,41,99
SKU00236,STY0180,Accessories,Pink,M,35.4,13.18,0.628,37,89
SKU00237,STY0027,Aerie Intimates,Tan,M,29.2,13.19,0.548,57,93
SKU00238,STY0050,Men's Denim,Red,M,61.08,31.77,0.48,39,97
SKU00239,STY0095,Activewear,Green,XXL,34.87,16.61,0.524,8,51
SKU00240,STY0151,Women's Denim,Black,XS,59.78,24.98,0.582,42,95
SKU00241,STY0088,Seasonal Capsule,Gray,XL,79.6,37.15,0.533,81,98
SKU00242,STY0044,Seasonal Capsule,Gray,L,96.61,43.88,0.546,17,34
SKU00243,STY0022,Seasonal Capsule,Navy,M,72.06,34.56,0.52,21,38
SKU00244,STY0171,Graphic Tees,Red,L,22.47,9.62,0.572,51,98
SKU00245,STY0165,Men's Denim,Green,M,61.03,31.94,0.477,2,48
SKU00246,STY0189,Seasonal Capsule,Tan,XL,78.75,41.06,0.479,70,89
SKU00247,STY0097,Graphic Tees,Black,XL,28.61,12.0,0.581,34,73
SKU00248,STY0184,Seasonal Capsule,Red,M,86.44,40.59,0.53,6,20
SKU00249,STY0003,Seasonal Capsule,Green,S,76.51,35.63,0.534,63,72
SKU00250,STY0191,Loungewear,Blue,L,50.54,22.6,0.553,67,90
SKU00251,STY0118,Aerie Intimates,Pink,XL,24.6,10.35,0.579,4,58
SKU00252,STY0019,Graphic Tees,Gray,S,19.48,6.87,0.647,40,97
SKU00253,STY0023,Loungewear,Tan,L,51.85,22.9,0.558,4,60
SKU00254,STY0157,Aerie Intimates,Gray,L,26.13,10.98,0.58,49,77
SKU00255,STY0030,Women's Denim,Tan,L,56.17,25.44,0.547,27,54
SKU00256,STY0039,Outerwear,Navy,S,93.71,45.15,0.518,19,76
SKU00257,STY0108,Seasonal Capsule,Tan,L,57.71,26.73,0.537,20,38
SKU00258,STY0111,Activewear,Gray,XL,55.42,25.63,0.538,22,46
SKU00259,STY0025,Outerwear,Tan,S,107.04,58.84,0.45,56,85
SKU00260,STY0128,Men's Denim,Blue,S,78.01,40.18,0.485,51,92
SKU00261,STY0111,Outerwear,Navy,XXL,60.8,32.67,0.463,12,67
SKU00262,STY0136,Seasonal Capsule,Tan,S,50.08,24.07,0.519,12,31
SKU00263,STY0106,Women's Denim,Red,XL,58.59,25.98,0.557,14,64
SKU00264,STY0186,Tops & Blouses,White,M,38.12,15.81,0.585,48,103
SKU00265,STY0144,Loungewear,Green,S,33.29,14.91,0.552,47,71
SKU00266,STY0072,Accessories,White,XL,21.39,9.16,0.572,54,96
SKU00267,STY0129,Activewear,White,M,57.96,23.86,0.588,19,64
SKU00268,STY0108,Activewear,Black,M,60.29,27.74,0.54,29,71
SKU00269,STY0005,Graphic Tees,Blue,M,18.48,8.21,0.556,62,92
SKU00270,STY0003,Aerie Intimates,Red,L,25.32,9.82,0.612,58,86
SKU00271,STY0193,Loungewear,Pink,S,24.48,10.29,0.58,41,68
SKU00272,STY0132,Loungewear,Tan,M,28.13,12.15,0.568,3,32
SKU00273,STY0104,Loungewear,Green,XXL,28.16,12.06,0.572,2,40
SKU00274,STY0064,Seasonal Capsule,Navy,S,50.07,25.82,0.484,26,40
SKU00275,STY0106,Tops & Blouses,Red,L,38.06,15.14,0.602,47,98
SKU00276,STY0098,Tops & Blouses,Gray,M,48.49,20.35,0.58,44,86
SKU00277,STY0010,Accessories,Pink,XL,23.69,8.04,0.661,30,54
SKU00278,STY0149,Activewear,Black,S,53.82,25.32,0.53,27,55
SKU00279,STY0128,Activewear,Black,XXL,55.37,26.06,0.529,59,87
SKU00280,STY0046,Accessories,Red,M,18.08,7.05,0.61,4,55
SKU00281,STY0155,Loungewear,White,S,57.82,22.58,0.609,53,85
SKU00282,STY0066,Aerie Intimates,Gray,XS,33.84,15.01,0.556,59,102
SKU00283,STY0169,Graphic Tees,Black,S,26.08,10.76,0.587,25,77
SKU00284,STY0112,Men's Denim,Green,M,51.46,25.36,0.507,7,33
SKU00285,STY0013,Outerwear,Black,M,77.67,40.0,0.485,10,33
SKU00286,STY0137,Men's Denim,Navy,XL,61.92,31.83,0.486,32,86
SKU00287,STY0164,Tops & Blouses,Tan,M,26.39,12.05,0.543,27,59
SKU00288,STY0086,Outerwear,Black,S,90.3,43.28,0.521,25,68
SKU00289,STY0090,Aerie Intimates,Navy,L,23.63,9.35,0.604,9,60
SKU00290,STY0058,Outerwear,Red,L,90.64,51.63,0.43,17,67
SKU00291,STY0054,Men's Denim,Red,S,66.36,32.99,0.503,45,87
SKU00292,STY0012,Men's Denim,Pink,S,52.69,23.71,0.55,47,92
SKU00293,STY0014,Loungewear,Black,XS,49.5,18.88,0.619,46,101
SKU00294,STY0121,Graphic Tees,Green,L,17.55,6.58,0.625,61,94
SKU00295,STY0162,Women's Denim,Black,L,52.69,22.74,0.568,11,66
SKU00296,STY0181,Tops & Blouses,Green,M,37.79,16.14,0.573,38,70
SKU00297,STY0121,Accessories,Blue,XL,21.45,8.14,0.621,46,81
SKU00298,STY0020,Women's Denim,Pink,XL,51.87,23.93,0.539,46,95
SKU00299,STY0075,Activewear,Blue,L,38.07,18.16,0.523,9,48
